District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,elem_pa_punish,mid_pa_punish,elem_pa_recess,mid_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,3_mean_edfa_ela,3_mean_edfa_math,4_mean_edfa_ela,4_mean_edfa_math,5_mean_edfa_ela,5_mean_edfa_math,6_mean_edfa_ela,6_mean_edfa_math,7_mean_edfa_ela,7_mean_edfa_math,8_mean_edfa_ela,8_mean_edfa_math,three_mean_ela2011,three_mean_math2011,four_mean_ela2011,four_mean_math2011,five_mean_ela2011,five_mean_math2011,six_mean_ela2011,six_mean_math2011,seven_mean_ela2011,seven_mean_math2011,eight_mean_ela2011,eight_mean_math2011,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
Basehor-Linwood,458,2010,B+,B+,A-,,A,A,,E-,,A+,,,A,A,,,E+,E+,A,A,B+,B+,,,A,A,E-,E-,B+,E-,E+,A+,B,B+,A+,,,,A+,A+,0.43588933,0.25423345,0.30610499,-0.009739479,0.30937806,0.18241945,0.45638016,0.23540786,0.23408139,0.1338843,0.19240156,0.19801253,0.17897804,0.10798063,0.42130589,0.33637455,0.37875476,0.29804072,0.553936,0.2345186,0.38146293,0.37264886,0.36064059,0.34885168,-0.25691129,-0.14625282,0.1152009,0.346114029,0.0693767,0.11562127,0.09755584,-0.00088926,0.14738154,0.23876456,0.16823903,0.15083915
Baxter Springs,508,2010,B+,B+,E-,E-,A+,A+,,E+,,,,,A-,A-,,E+,B+,B+,E,E-,E-,E-,,E,A,A,E,E,B,B+,E,E,B,B,A-,,E,E,A+,A+,0.026294259,0.31598499,0.15779421,0.14739805,-0.035298657,-0.18647088,0.094872817,-0.2256912,-0.13825847,0.024697231,-0.099220373,-0.13624427,-0.10177812,-0.10517547,0.19952756,-0.02392618,0.15026926,0.034168247,-0.14608213,-0.27762508,-0.0393329,-0.25874412,-0.32771641,-0.25028381,-0.128072379,-0.42116046,0.04173335,-0.17132423,0.185567917,0.220639127,-0.240954947,-0.05193388,0.09892557,-0.283441351,-0.228496037,-0.11403954
Belle Plaine,357,2010,B+,B+,E,E,E-,E-,E-,E-,,,E-,A+,A-,A-,,,A,A,E-,A+,A,A,,,A+,A+,E,E,B,B+,E+,E+,B,B+,E,,E,E,E-,A+,-0.18717243,-0.4303771,0.11611848,0.002365314,0.15897004,-0.17978734,0.84596115,0.34615308,0.2625303,0.34407777,0.13626514,0.14390111,-0.048718452,-0.31566313,-0.051488936,-0.085507728,-0.044812158,-0.4085471,0.1751506,0.006603953,0.28553835,0.22512095,0.29345381,0.34719822,0.138453978,0.11471397,-0.167607416,-0.087873042,-0.203782198,-0.22875976,-0.67081055,-0.339549127,0.02300805,-0.11895682,0.15718867,0.20329711
Beloit,273,2010,B+,B+,A,A,A-,A-,,A+,A,A,,,A,A,A+,,B-,B-,E,E,B+,B+,B+,,B,B,B-,B-,B,B,A,A,B+,B+,B-,,A+,E-,B+,B+,-0.043057896,0.082165778,0.17395854,0.23225339,-0.067882031,0.21053022,0.35185683,0.25814968,0.13940281,0.13321394,0.11098223,0.097950056,0.10646209,-0.092130974,0.25315613,0.42310905,-0.14771324,-0.23157305,0.20539984,0.13517691,-0.016550837,-0.008945175,-0.096250653,0.035876445,0.149519986,-0.174296752,0.07919759,0.19085566,-0.079831209,-0.44210327,-0.14645699,-0.12297277,-0.155953647,-0.142159115,-0.207232883,-0.062073611
Bluestem,205,2010,B+,B+,E-,E-,A-,A-,,,A+,A+,,,A+,A,,,B,A+,A-,A+,A+,A+,,,A+,B+,A+,A+,A+,A+,E-,E+,B+,B+,E+,,E,E-,A+,A+,0.17414485,-0.15341106,0.061392169,0.43177697,-0.18237177,-0.067741841,-0.12868686,0.01630735,-0.16083473,-0.021612663,-0.22305636,-0.043810233,-0.1109635,-0.29735127,0.18371007,0.41620702,-0.10557847,-1.1823839,-0.10620078,-0.63805115,-0.40792662,0.000965485,-0.14944576,-0.25964409,-0.28510835,-0.14394021,0.122317901,-0.01556995,0.0767933,-1.114642059,0.02248608,-0.6543585,-0.24709189,0.022578148,0.0736106,-0.215833857
Bonner Springs,204,2010,B+,B+,E-,E-,E+,E+,E,E,,E,B+,E-,A,A+,,,A-,A,A,E,B+,E+,,,B+,E-,E+,E,B,B,A+,E,B,B+,A+,,E-,E,B,E-,-0.09776406,-0.10884523,0.1571904,-0.005520236,0.068087503,-0.088548362,-0.27080297,-0.37404734,-0.29754069,-0.32348466,-0.11782221,-0.052409563,-0.17109588,-0.085973032,-0.091337107,-0.081875727,0.061535601,0.059162054,-0.12595534,-0.38263565,-0.28227994,-0.29493114,-0.31599,-0.15451671,-0.07333182,0.022872198,-0.248527507,-0.076355491,-0.006551902,0.147710416,0.14484763,-0.00858831,0.01526075,0.02855352,-0.19816779,-0.102107147
Buhler,313,2010,B+,B+,A,A,A+,A+,,E,,,,,A-,A-,A,,A,E-,B+,B+,B+,B+,B-,,A-,A-,E+,E+,B,B,A+,E-,B,B,B,,A+,E,A+,A+,0.32500634,0.26005343,0.091678351,0.10848372,0.070058882,-0.23686735,0.3247605,0.099543601,0.23807488,-0.13295642,0.21522754,0.18252404,0.36144099,0.47988835,0.10955265,0.09813033,0.081910826,0.17431536,0.27863607,0.094879813,0.1941365,-0.021513931,0.18531215,0.063835114,0.03643465,0.21983492,0.017874299,-0.01035339,0.011851944,0.41118271,-0.04612443,-0.004663788,-0.04393838,0.111442489,-0.02991539,-0.118688926
Burlingame,454,2010,B,,A,,B+,,,,,,,,B+,,,,B+,,B+,,B+,,,,A-,,A+,,B+,,A,,B+,,E,,E-,,E-,,,,0.10478096,0.23549272,-0.24080107,-0.089708574,0.002000151,0.1185412,-0.12781863,0.45386738,-0.50417298,-0.066091254,,,0.19219197,-0.35260674,-0.15760507,0.4909364,-0.18083344,0.33451581,-0.22744191,0.45336023,-0.42563266,-0.20077714,0,0,0.08741101,-0.58809946,0.083196,0.580644974,-0.182833591,0.21597461,-0.09962328,-0.00050715,0.07854032,-0.134685886
Burlington,244,2010,B+,B+,E+,E+,,,,,,,,,A-,A,E+,E+,A-,A-,E,E-,E,E,E,,A-,A-,E-,E-,A,E-,E-,A+,B,B,E-,,,,E,E-,0.034688618,-0.13478601,-0.2877844,-0.25507677,-0.16525543,-0.37412545,0.066084996,0.18865767,0.056673065,0.31583798,0.28001705,0.018194839,0.014171008,0.17194028,-0.13797015,-0.072561376,-0.11209463,-0.21349281,0.20376159,0.39117956,-0.21545978,0.12160505,-0.2281234,-0.068409696,-0.02051761,0.30672629,0.14981425,0.182515394,0.0531608,0.16063264,0.137676594,0.20252189,-0.272132845,-0.19423293,-0.50814045,-0.086604535
Burrton,369,2010,B+,B+,E-,E-,B+,B+,,,,A-,,B+,B+,A-,,,B+,B,A+,A+,B+,B-,,,B+,B+,E+,E+,B,B+,A+,B+,B+,B+,B+,,,B+,B,B,,,,,,,-0.72654599,-0.38622633,,,,,,,,,,,,,-0.29218081,-0.58541018,-0.23862597,-0.44831589,0,0,0,0,0,0,0.72654599,0.38622633,-0.29218081,-0.58541018,-0.23862597,-0.44831589
Caldwell,360,2010,B+,,A+,,E-,,,,A,,,,A-,,,,B,,A-,,E+,,,,B+,,E,,E-,,E,,B+,,A+,,,,A+,,,,,,,,,,-0.16201602,-0.31348658,0.031526417,-0.41371325,,,,,,,,,,,-0.12499546,-0.46584058,0,0,0,0,0,0,0,0,0.16201602,0.31348658,-0.156521877,-0.05212733
Caney Valley,436,2010,B+,,A+,,E-,,,,,A+,,,A-,B+,,,A-,A,B+,B+,B+,B+,,,A+,B+,E+,E+,B,E-,E-,E-,B,B+,A+,,E,E+,E-,A+,0.061648581,-0.029904369,0.43565208,0.72764963,0.19160274,0.07335151,0.48515168,0.77588427,0.35550126,0.45937562,0.17251712,-0.090879574,0.11117853,-0.011301769,0.20667067,0.33057046,0.65174556,0.24415629,0.16740592,0.42456943,0.29563409,0.19664052,0.1754365,-0.14324293,0.049529949,0.0186026,-0.22898141,-0.39707917,0.46014282,0.17080478,-0.31774576,-0.35131484,-0.05986717,-0.2627351,0.00291938,-0.052363356
Canton-Galva,419,2010,B+,B+,E+,E-,E-,E-,,A,,E-,,E-,A-,A,,,,A+,E+,E,E+,E,,,E-,A,E+,E,A,A,E+,E-,B+,B,A+,,,,A+,A+,0.14958076,0.039210048,0.068373725,0.035181109,0.069074698,-0.42542729,0.25708368,0.11515222,0.10790317,0.42937121,0.15472245,0.55328298,-0.06235392,-0.24523035,0.22288984,-0.47051746,-0.081663832,-0.52340698,0.3482829,-0.34333205,0.28559315,0.43796784,0.081295766,0.49450982,-0.21193468,-0.284440398,0.154516115,-0.505698569,-0.15073853,-0.09797969,0.09119922,-0.45848427,0.17768998,0.00859663,-0.073426684,-0.05877316
Central,462,2010,B+,B+,E,E,A-,A-,,,E,E-,,,A,A,E+,E-,A-,A,A+,B+,A,A,E,,E-,E-,E,E,B,A+,E,E-,B+,B+,A+,,E,E,E-,E-,-0.039848216,0.062622249,,,,,-0.29075977,0.26121196,0.12465231,1.4548104,-0.11333159,0.50385344,-0.20333658,-0.013506059,-0.134978,0.17860731,,,,,-0.009521594,1.1644768,-0.090722568,0.3395097,-0.163488364,-0.076128308,-0.134978,0.17860731,0,0,0.29075977,-0.26121196,-0.134173904,-0.2903336,0.022609022,-0.16434374
Central Heights,288,2010,B+,,E,,A,,,,,,,,A,,,,A-,,B-,,B-,,,,B+,,B+,,B,,E,,B+,,E,,E-,,A+,,-0.16561264,-0.351789,-0.36435881,-0.32850304,0.062170085,-0.33497071,-0.24490243,-0.55073202,0.14257498,-0.17052245,0.18699548,-0.13331953,-0.43122706,-0.44244212,-0.40308967,-0.7166481,-0.23236251,-0.38114846,-0.10977912,-0.2938284,-0.008193404,-0.005723112,0.094499007,-0.16977453,-0.26561442,-0.09065312,-0.03873086,-0.38814506,-0.294532595,-0.04617775,0.13512331,0.25690362,-0.150768384,0.164799338,-0.092496473,-0.036455
Centre,397,2010,B+,B+,E-,E-,E-,A+,,,,E,,,A,A+,,,A,A,A+,A+,A,A,,,A+,A+,E,E,A+,E+,E-,E-,B+,B+,B+,,,,A+,A+,,,0.40710771,0.45800647,,,-0.10068247,0.25871724,-0.016107686,0.11227721,-0.14194678,-0.11903842,,,,,-0.021527171,-0.003642819,0.19470544,-0.27163798,-0.30834001,-0.14076434,-0.12597069,-0.016995315,0,0,-0.40710771,-0.45800647,-0.021527171,-0.003642819,0.29538791,-0.53035522,-0.292232324,-0.25304155,0.01597609,0.102043105
Chanute,413,2010,B+,B,E,E,E-,E-,E-,E-,,E-,,E+,A-,A-,,,A,A,E-,E,B+,B+,,,E-,E-,A+,A+,B,E+,E-,E-,B+,B+,E,,,,E-,A+,-0.26243418,-0.24963896,-0.008766437,0.006076156,-0.23156409,0.13984802,-0.32074314,-0.068182066,-0.045763344,0.2163052,-0.10738444,0.1247269,-0.33616143,-0.16350412,-0.22684118,-0.11699479,-0.21797384,-0.099943303,-0.35533497,-0.091571361,-0.16135134,-0.13032699,-0.21212895,-0.060317777,-0.07372725,0.08613484,-0.218074743,-0.123070946,0.01359025,-0.239791323,-0.03459183,-0.023389295,-0.115587996,-0.34663219,-0.10474451,-0.185044677
Chapman,473,2010,B+,B+,A+,A+,A,A,,,,,,,A-,A-,A,,A+,A,A+,B+,E,A,A,,A+,A+,A+,A+,A-,A+,E-,E-,B+,B+,E-,,E-,,E-,A+,0.52701133,0.65225136,0.30793071,0.068690151,0.39428872,0.53698432,-0.049768873,-0.38711488,0.37197003,0.13942142,0.15393338,-0.21457936,0.084382392,0.14242166,0.38006967,0.51442522,0.20120493,0.086609662,0.39773217,-0.033797495,0.23229384,-0.058597226,0.23318355,-0.1132694,-0.442628938,-0.5098297,0.07213896,0.445735069,-0.19308379,-0.450374658,0.447501043,0.353317385,-0.13967619,-0.198018646,0.07925017,0.10130996
Chase County,284,2010,B+,B+,E-,E-,E-,E-,,,E,E,,,E-,E-,,,E,E,E,E,E,E,,,E,E,E,E,E-,A+,A+,A+,B+,B,E-,,E,E,E-,E-,0.039385848,0.40851951,0.030999869,-0.11414637,-0.049755316,0.10534392,0.37035197,0.25095853,0.11873411,-0.18497506,-0.10004486,-0.21225363,0.26324749,0.33279786,-0.096599698,-0.13845828,-0.19934824,-0.2412836,-0.012873637,0.48416302,0.41095394,0.095456704,0.14740752,-0.043366574,0.223861642,-0.07572165,-0.127599567,-0.02431191,-0.149592924,-0.34662752,-0.383225607,0.23320449,0.29221983,0.280431764,0.24745238,0.168887056
Chautauqua County Community,286,2010,B+,B+,E-,E-,A-,A-,A,A,B+,A-,,,A-,A-,,,B+,B+,A,A,A-,A-,,,A+,A+,E-,E-,B+,B+,E-,A+,B-,B-,A+,,A+,A+,B+,B,,,0.11630539,0.28927261,-0.27614361,-0.13943723,-0.02660099,0.076543696,-0.4901644,-0.53956115,-0.12319405,-0.25929022,0.050986856,0.12180075,,,-0.16439064,-0.240513,-0.14057265,-0.019071769,0.060185049,-0.42263532,-0.3717244,-0.31935847,0.050986856,0.12180075,-0.11630539,-0.28927261,0.11175297,-0.10107577,-0.11397166,-0.095615465,0.550349449,0.11692583,-0.24853035,-0.06006825
Cheney,268,2010,B+,B+,E,E,E-,E,,E,,A-,,E-,,A-,,,A,E+,A,E,E+,E+,,,A+,A+,E+,E+,A-,A,E+,E-,B+,B-,E-,,E-,E-,E,E-,0.34062999,0.71106291,0.48971856,0.79260015,0.46352097,0.64308828,0.48856056,-0.15483168,0.37629923,0.37274212,0.15146713,0.12984577,0.59013879,0.43618941,0.44084078,0.47413719,0.15558095,0.40469319,0.62432939,-0.15605958,0.42812288,0.25003484,0.55422705,0.49449641,0.2495088,-0.2748735,-0.04887778,-0.31846296,-0.30794002,-0.23839509,0.13576883,-0.0012279,0.05182365,-0.12270728,0.40275992,0.36465064
Cherryvale,447,2010,B+,B+,A,A,A+,A+,E,E,,A+,E,E-,A-,A-,A+,,B+,B+,E-,E-,A,A,B+,,B+,B+,E-,E-,B+,B+,A+,A+,B+,B+,E-,,,,A+,A+,-0.33037001,-0.11875183,-0.12412772,0.065055512,-0.049256008,-0.19618921,0.30671406,0.61232346,0.078046367,-0.21130769,0.23889503,-0.032437973,-0.29283273,-0.29549411,-0.26439944,-0.061668109,0.056730796,0.15861444,0.19924684,0.3178094,0.069637001,0.014765758,0.18809599,0.095686868,0.03753728,-0.17674228,-0.14027172,-0.126723621,0.105986804,0.35480365,-0.10746722,-0.29451406,-0.008409366,0.226073448,-0.05079904,0.128124841
Chetopa - St. Paul,505,2010,B+,B+,E,E,E,E,,,E+,E+,,,E,E,E+,E+,B+,B+,E,E,B-,B-,E+,E,E-,E-,E,E,B+,A+,E,E,B,B,E-,,E,E,E,E-,-0.014954165,0.14991952,-0.27974176,-0.20747647,0.36516261,0.0771318,-0.036543071,-0.043233186,0.078557782,-0.080793343,-0.19872311,-0.41844651,-0.29817659,0.083903059,-0.10369451,-0.12864666,-0.15885705,0.10745579,-0.013953483,0.15405893,-0.050848823,-0.39577827,-0.018760674,-0.58610356,-0.283222425,-0.066016461,0.17604725,0.07882981,-0.52401966,0.03032399,0.022589588,0.197292116,-0.129406605,-0.314984927,0.179962436,-0.16765705
Cimarron-Ensign,102,2010,B+,B+,E,E,E,E,,,,E+,,,A-,A,,,E-,E-,E,E,E,E,,,E,E,E+,E+,B,A-,E-,E-,B+,B+,E-,,,E,E-,E-,-0.45733675,-0.7103349,0.17829835,0.063560739,0.50898862,1.0453731,0.23145124,0.69222564,0.14732763,0.59277731,-0.059957743,0.31176269,-0.1945971,-0.3003462,-0.29214117,-0.2475564,-0.072155714,0.29160747,0.1724772,0.59989983,-0.069942176,0.27358469,0.22548661,0.70696551,0.26273965,0.4099887,-0.47043952,-0.311117139,-0.581144334,-0.75376563,-0.05897404,-0.09232581,-0.217269806,-0.31919262,0.285444353,0.39520282
Circle,375,2010,B+,B+,E-,E-,A,A,,,A-,B+,,,A,A,A+,,A,A,A-,A-,B+,B+,B+,,B+,B+,B+,B+,B,A-,E+,E-,B+,B+,A+,A,A-,A,B+,B+,0.30503631,0.10757802,0.36298525,0.29777622,0.39603618,0.24906488,0.28017691,0.52048612,-0.1291616,-0.472296,-0.05156577,-0.24170709,0.24455971,0.10887779,0.23867549,0.44252422,0.25501564,0.27112973,0.36826488,0.48839045,0.040697947,0.27345118,-0.14227262,0.003833621,-0.0604766,0.00129977,-0.12430976,0.144748,-0.14102054,0.02206485,0.08808797,-0.03209567,0.169859547,0.74574718,-0.09070685,0.245540711
Clay Center,379,2010,B+,B+,E,E,A,A,,E,,A,,,A,A-,,,E+,E+,A,A,E,B+,,,A,B+,E-,E-,B,B+,E-,E,B,B+,E-,,,,E-,E-,0.389184,0.39411217,0.23580024,0.1413426,0.51912504,0.50227219,0.13833904,0.33268154,0.30371153,0.54358828,0.21147549,0.25973052,0.42571267,0.13820137,0.57500619,0.2786746,0.17886242,0.25266427,0.27808574,0.057154927,0.11975635,0.28360489,0.1433645,0.25208479,0.03652867,-0.2559108,0.33920595,0.137332,-0.34026262,-0.24960792,0.1397467,-0.275526613,-0.18395518,-0.25998339,-0.06811099,-0.00764573
Clearwater,264,2010,B+,B+,E-,E-,A+,A+,,,A,A,A,,A-,A-,,,A,A-,A,A-,A,B+,,,A,A,E,E,A,A-,A+,A,B+,B+,A+,,,,E-,E-,0.43625364,0.43641183,0.23341325,0.087309174,0.26764753,0.6184181,0.32939425,0.18719688,0.19265154,0.059849881,0.50215936,0.21013652,0.15858668,0.041207384,0.41852558,0.43709511,0.22576115,-0.08490812,0.25190836,0.20326838,0.22642757,0.10340533,0.42959428,-0.021952262,-0.27766696,-0.395204446,0.18511233,0.349785936,-0.04188638,-0.70332622,-0.07748589,0.0160715,0.03377603,0.043555449,-0.07256508,-0.232088782
Clifton-Clyde,224,2010,B+,B+,A+,A+,A,A,,,,A,,,A,A,,,A-,A-,E-,A,E+,E+,,,E,E,E-,E-,A-,A-,A,A,B-,B+,A+,,B+,B+,E-,E-,0.49071649,0.1717494,,,0.71081984,0.95413053,,,,,1.0587748,0.6861217,0.63511121,0.48222432,0.065547332,-0.3165043,,,0.59582955,0.39225921,,,0.54851413,0.73822069,0.14439472,0.31047492,0.065547332,-0.3165043,-0.71081984,-0.95413053,0.59582955,0.39225921,0,0,-0.51026067,0.05209899
