District Name,District Number,Year,elem_nutr_gen_atm,mid_nutr_gen_atm,hs_nutr_gen_atm,elem_nutr_bkfst,mid_nutr_bkfst,hs_nutr_bkfst,elem_nutr_lunch,mid_nutr_lunch,hs_nutr_lunch,elem_nutr_a_la_carte,mid_nutr_a_la_carte,hs_nutr_a_la_carte,elem_nutr_vend,mid_nutr_vend,hs_nutr_vend,elem_nutr_sch_store,mid_nutr_sch_store,hs_nutr_sch_store,elem_nutr_sch_day,mid_nutr_sch_day,hs_nutr_sch_day,elem_nutr_aft_sch_prog,mid_nutr_aft_sch_prog,hs_nutr_aft_sch_prog,elem_ne_gen_guide_and_class,mid_ne_gen_guide_and_class,hs_ne_gen_guide_and_class,elem_ne_cafeteria,mid_ne_cafeteria,hs_ne_cafeteria,elem_ne_events_dur_sch_day,mid_ne_events_dur_sch_day,hs_ne_events_dur_sch_day,elem_ne_aft_sch_prog,mid_ne_aft_sch_prog,hs_ne_aft_sch_prog,elem_ne_fam_comm,mid_ne_fam_comm,hs_ne_fam_comm,elem_ne_staff_well,mid_ne_staff_well,hs_ne_staff_well,elem_pa_gen_guide_pe_class,mid_pa_gen_guide_pe_class,hs_pa_gen_guide_pe_class,elem_pa_thru_day,mid_pa_thru_day,hs_pa_thru_day,elem_pa_punish,mid_pa_punish,hs_pa_punish,elem_pa_recess,mid_pa_recess,hs_pa_recess,elem_pa_bef_aft_sch,mid_pa_bef_aft_sch,hs_pa_bef_aft_sch,elem_pa_fam_comm,mid_pa_fam_comm,hs_pa_fam_comm,Notes,leaid,leaname,fips,stateabb,year,grade,3_mean_edfa_ela,3_se_edfa_ela,3_mean_edfa_math,3_se_edfa_math,4_mean_edfa_ela,4_se_edfa_ela,4_mean_edfa_math,4_se_edfa_math,5_mean_edfa_ela,5_se_edfa_ela,5_mean_edfa_math,5_se_edfa_math,6_mean_edfa_ela,6_se_edfa_ela,6_mean_edfa_math,6_se_edfa_math,7_mean_edfa_ela,7_se_edfa_ela,7_mean_edfa_math,7_se_edfa_math,8_mean_edfa_ela,8_se_edfa_ela,8_mean_edfa_math,8_se_edfa_math
Barber County North,254,2010,B+,,B+,E,,E-,A+,,A+,,,A+,B+,,A,,,A+,A-,,A-,E-,,,A-,,A-,B+,,A-,B+,,B+,B+,,,A-,,B-,E-,,E-,A-,,A+,B+,,B+,B+,,B+,B+,,,E-,,E,B+,,B,,2009450,BARBER COUNTY NORTH,20,KS,2010,3,0.25313115,0.18022741,0.32005027,0.18852802,0.079299122,0.16752233,0.17092077,0.16524374,,,,,0.44154054,0.16556272,0.46497568,0.15378468,0.12004054,0.17286648,-0.42625427,0.1661353,0.030284693,0.15093316,-0.22410336,0.14461653
Barnes,223,2010,B+,B+,A-,A,A,A,B+,B+,B+,A+,A+,A+,A,A,A,,,,A-,B+,B+,,,,A-,A-,A-,A,A,A,A,A,A,A,A,B-,A-,A-,A-,B-,B-,B-,B,A,B+,A,A,A,B+,B+,B+,A+,,,A+,A+,A+,A-,A-,A-,,2000012,BARNES,20,KS,2010,7,0.59486461,0.23170707,0.53597438,0.21228832,,,,,,,,,,,,,,,,,,,,
Basehor-Linwood,458,2010,B+,B+,A-,A-,,,A,A,A,,E-,E-,,A+,A+,,,,A,A,A,,,,E+,E+,E+,A,A,A,B+,B+,B+,,,,A,A,A-,E-,E-,E-,B+,E-,A+,E+,A+,A+,B,B+,B+,A+,,,,,,A+,A+,A+,,2003780,BASEHOR-LINWOOD,20,KS,2010,3,0.43588933,0.087791972,0.25423345,0.0886342,0.30610499,0.093769148,-0.009739479,0.08993569,0.30937806,0.090806365,0.18241945,0.080755189,0.45638016,0.095210753,0.23540786,0.080789372,0.23408139,0.081243195,0.1338843,0.073956646,0.19240156,0.08491908,0.19801253,0.088481322
Baxter Springs,508,2010,B+,B+,A-,E-,E-,E-,A+,A+,A+,,E+,E+,,,A-,,,B,A-,A-,A-,,E+,E+,B+,B+,A-,E,E-,E-,E-,E-,E-,,E,E,A,A,A,E,E,E,B,B+,B,E,E,E,B,B,B,A-,,,E,E,E,A+,A+,A+,,2003810,BAXTER SPRINGS,20,KS,2010,3,0.026294259,0.13006759,0.31598499,0.13003388,0.15779421,0.12613271,0.14739805,0.11191033,-0.035298657,0.10255303,-0.18647088,0.10320673,0.094872817,0.14206243,-0.2256912,0.11990403,-0.13825847,0.12168818,0.024697231,0.099795818,-0.099220373,0.11861844,-0.13624427,0.12589048
Belle Plaine,357,2010,B+,B+,B+,E,E,E,E-,E-,E-,E-,E-,E-,,,E-,E-,A+,A,A-,A-,A-,,,,A,A,A,E-,A+,E-,A,A,A,,,,A+,A+,A+,E,E,E,B,B+,B,E+,E+,E+,B,B+,B+,E,,,E,E,E,E-,A+,A+,,2003900,BELLE PLAINE,20,KS,2010,3,-0.18717243,0.13096128,-0.4303771,0.13066873,0.11611848,0.15283372,0.002365314,0.14751783,0.15897004,0.13826975,-0.17978734,0.13449374,0.84596115,0.16290461,0.34615308,0.13843073,0.2625303,0.14043671,0.34407777,0.13436173,0.13626514,0.15458204,0.14390111,0.14693506
Beloit,273,2010,B+,B+,A-,A,A,A,A-,A-,A-,,A+,A+,A,A,A+,,,,A,A,A,A+,,,B-,B-,B-,E,E,E,B+,B+,B+,B+,,,B,B,B,B-,B-,B-,B,B,B,A,A,A,B+,B+,B+,B-,,,A+,E-,E-,B+,B+,B+,,2003870,BELOIT,20,KS,2010,3,-0.043057896,0.13265294,0.082165778,0.13809687,0.17395854,0.14067625,0.23225339,0.13643678,-0.067882031,0.16731276,0.21053022,0.17958419,0.35185683,0.15239502,0.25814968,0.11051153,0.13940281,0.12594461,0.13321394,0.15247466,0.11098223,0.1306181,0.097950056,0.09988682
Bluestem,205,2010,B+,B+,A-,E-,E-,E-,A-,A-,A-,,,E-,A+,A+,A,,,,A+,A,A,,,,B,A+,A,A-,A+,A+,A+,A+,B+,,,,A+,B+,B+,A+,A+,A+,A+,A+,E-,E-,E+,E+,B+,B+,B+,E+,,,E,E-,E-,A+,A+,A+,,2008550,BLUESTEM,20,KS,2010,3,0.17414485,0.17968586,-0.15341106,0.17900017,0.061392169,0.15573926,0.43177697,0.15393184,-0.18237177,0.14887838,-0.067741841,0.15227479,-0.12868686,0.14554422,0.01630735,0.13702579,-0.16083473,0.13961615,-0.021612663,0.13549696,-0.22305636,0.13882846,-0.043810233,0.14047079
Bonner Springs,204,2010,B+,B+,A-,E-,E-,E-,E+,E+,E,E,E,E,,E,A,B+,E-,A-,A,A+,A,,,,A-,A,A-,A,E,A+,B+,E+,A+,,,,B+,E-,A+,E+,E,E+,B,B,A+,A+,E,E,B,B+,B+,A+,,,E-,E,A+,B,E-,A+,,2004050,BONNER SPRINGS,20,KS,2010,3,-0.09776406,0.068933226,-0.10884523,0.068763621,0.1571904,0.080447219,-0.005520236,0.078266978,0.068087503,0.084769398,-0.088548362,0.069680341,-0.27080297,0.066741906,-0.37404734,0.063055217,-0.29754069,0.07748685,-0.32348466,0.068492264,-0.11782221,0.06782005,-0.052409563,0.075093433
Bucklin,459,2010,B+,,A-,E,,E,A,,A,,,,B+,,B+,,,,B+,,A-,,,,A-,,A-,E-,,E-,A,,A,,,,A-,,A-,B-,,B-,A-,,B,E,,A,B,,B,E-,,,,,,E-,,E-,,2004140,BUCKLIN,20,KS,2010,5,,,,,,,,,-0.1091461,0.20550087,-0.54785836,0.20744906,,,,,,,,,,,,
Buhler,313,2010,B+,B+,A-,A,A,A,A+,A+,E-,,E,E,,,E-,,,,A-,A-,A-,A,,,A,E-,A,B+,B+,E-,B+,B+,B+,B-,,,A-,A-,B+,E+,E+,E+,B,B,B+,A+,E-,A,B,B,B,B,,,A+,E,E-,A+,A+,A+,,2004200,BUHLER,20,KS,2010,3,0.32500634,0.078868769,0.26005343,0.07272388,0.091678351,0.069197223,0.10848372,0.06914977,0.070058882,0.085954666,-0.23686735,0.077528499,0.3247605,0.069458157,0.099543601,0.079581887,0.23807488,0.078946076,-0.13295642,0.069744714,0.21522754,0.084858902,0.18252404,0.066394426
Burlingame,454,2010,B,,A-,A,,A,B+,,B+,,,,,,B+,,,,B+,,B+,,,,B+,,B+,B+,,B+,B+,,B+,,,,A-,,A-,A+,,A+,B+,,B+,A,,A,B+,,B+,E,,,E-,,E,E-,,E-,,2004260,BURLINGAME PUBLIC SCHOOL,20,KS,2010,4,,,,,0.10478096,0.20396692,0.23549272,0.19406094,-0.24080107,0.17793959,-0.089708574,0.18059473,0.002000151,0.17109691,0.1185412,0.16156119,-0.12781863,0.16714258,0.45386738,0.16851114,-0.50417298,0.166719,-0.066091254,0.16609186
Burlington,244,2010,B+,B+,A-,E+,E+,E+,,,,,,E,,,,,,,A-,A,A,E+,E+,,A-,A-,A-,E,E-,E,E,E,E,E,,,A-,A-,A-,E-,E-,E-,A,E-,E+,E-,A+,A+,B,B,B+,E-,,,,,,E,E-,A+,,2004290,BURLINGTON,20,KS,2010,3,0.034688618,0.1146623,-0.13478601,0.11091157,-0.2877844,0.10707995,-0.25507677,0.11284591,-0.16525543,0.11560592,-0.37412545,0.12975764,0.066084996,0.13898668,0.18865767,0.10961735,0.056673065,0.10665827,0.31583798,0.11207654,0.28001705,0.10556927,0.018194839,0.12419896
Burrton,369,2010,B+,B+,A-,E-,E-,E-,B+,B+,A-,,,,,A-,A-,,B+,B+,B+,A-,A-,,,,B+,B,B+,A+,A+,A+,B+,B-,B-,,,,B+,B+,B+,E+,E+,E,B,B+,A-,A+,B+,B+,B+,B+,B+,B+,,,,B+,B+,B,B,B,,2004350,BURRTON,20,KS,2010,6,,,,,,,,,,,,,-0.72654599,0.1879504,-0.38622633,0.17638163,,,,,,,,
Caldwell,360,2010,B+,,A-,A+,,A+,E-,,E,,,,A,,A+,,,,A-,,B+,,,,B,,A-,A-,,A+,E+,,B+,,,,B+,,A+,E,,E,E-,,E-,E,,E,B+,,B+,A+,,,,,,A+,,A+,,2004380,CALDWELL,20,KS,2010,7,,,,,,,,,,,,,,,,,-0.16201602,0.20869476,-0.31348658,0.20261757,0.031526417,0.19149835,-0.41371325,0.18279581
Caney Valley,436,2010,B+,,A-,A+,,A+,E-,,E-,,,,,A+,E-,,,,A-,B+,B+,,,,A-,A,A-,B+,B+,B+,B+,B+,B+,,,,A+,B+,B+,E+,E+,E+,B,E-,B,E-,E-,E-,B,B+,B+,A+,,,E,E+,E,E-,A+,A+,,2004410,CANEY VALLEY,20,KS,2010,3,0.061648581,0.10036598,-0.029904369,0.1234453,0.43565208,0.14113748,0.72764963,0.14084736,0.19160274,0.071129628,0.07335151,0.1387222,0.48515168,0.14976621,0.77588427,0.18192722,0.35550126,0.080619253,0.45937562,0.10913205,0.17251712,0.15326801,-0.090879574,0.13945439
Canton-Galva,419,2010,B+,B+,A-,E+,E-,,E-,E-,E-,,A,E,,E-,A+,,E-,E+,A-,A,E,,,,,A+,A+,E+,E,E-,E+,E,E+,,,,E-,A,A+,E+,E,A,A,A,E,E+,E-,A+,B+,B,B+,A+,,,,,,A+,A+,A+,,2004440,CANTON-GALVA,20,KS,2010,3,0.14958076,0.17642787,0.039210048,0.1787336,0.068373725,0.18282355,0.035181109,0.17032877,0.069074698,0.20602106,-0.42542729,0.20427112,0.25708368,0.17429984,0.11515222,0.16098733,0.10790317,0.17763181,0.42937121,0.17509203,0.15472245,0.16055232,0.55328298,0.16081651
Central,462,2010,B+,B+,A-,E,E,E,A-,A-,A-,,,,E,E-,E-,,,,A,A,A,E+,E-,E-,A-,A,A,A+,B+,B+,A,A,A,E,,,E-,E-,A+,E,E,E,B,A+,A+,E,E-,E,B+,B+,B+,A+,,,E,E,E,E-,E-,E-,,2004230,CENTRAL,20,KS,2010,3,-0.039848216,0.17530461,0.062622249,0.18113649,,,,,,,,,-0.29075977,0.16553459,0.26121196,0.16249816,0.12465231,0.20254554,1.4548104,0.26131576,-0.11333159,0.1959528,0.50385344,0.1980468
Central Heights,288,2010,B+,,A-,E,,E,A,,A,,,,,,E-,,,,A,,A,,,,A-,,A-,B-,,B-,B-,,B-,,,,B+,,B+,B+,,B+,B,,B+,E,,E,B+,,B,E,,,E-,,E-,A+,,A+,,2000014,CENTRAL HEIGHTS,20,KS,2010,3,-0.16561264,0.1436678,-0.351789,0.14615209,-0.36435881,0.16148199,-0.32850304,0.15270661,0.062170085,0.14826156,-0.33497071,0.14419869,-0.24490243,0.10252395,-0.55073202,0.14924392,0.14257498,0.12966718,-0.17052245,0.11921256,0.18699548,0.15067181,-0.13331953,0.14289694
Centre,397,2010,B+,B+,A-,E-,E-,E-,E-,A+,A+,,,,,E,E,,,,A,A+,A+,,,,A,A,A,A+,A+,A+,A,A,A,,,,A+,A+,A+,E,E,E,A+,E+,E+,E-,E-,E-,B+,B+,B+,B+,,,,,,A+,A+,A+,,2008940,CENTRE,20,KS,2010,4,,,,,0.40710771,0.20689283,0.45800647,0.18964134,,,,,-0.10068247,0.20410372,0.25871724,0.19592528,-0.016107686,0.19056405,0.11227721,0.18494076,-0.14194678,0.18757242,-0.11903842,0.18256642
Chanute,413,2010,B+,B,B+,E,E,E,E-,E-,E,E-,E-,E-,,E-,A+,,E+,,A-,A-,A-,,,,A,A,A,E-,E,A+,B+,B+,B-,,,,E-,E-,A+,A+,A+,A+,B,E+,E-,E-,E-,A-,B+,B+,B+,E,,,,,,E-,A+,A+,,2004590,CHANUTE PUBLIC SCHOOLS,20,KS,2010,3,-0.26243418,0.079731695,-0.24963896,0.10679764,-0.008766437,0.088362187,0.006076156,0.097010657,-0.23156409,0.091856264,0.13984802,0.11323625,-0.32074314,0.097335018,-0.068182066,0.10681009,-0.045763344,0.093475066,0.2163052,0.076652162,-0.10738444,0.10958542,0.1247269,0.096147843
Chapman,473,2010,B+,B+,A-,A+,A+,,A,A,A,,,E-,,,A-,,,,A-,A-,A-,A,,,A+,A,A,A+,B+,B+,E,A,A,A,,,A+,A+,A+,A+,A+,A+,A-,A+,B,E-,E-,E-,B+,B+,B+,E-,,,E-,,,E-,A+,A+,,2004620,CHAPMAN,20,KS,2010,3,0.52701133,0.117676,0.65225136,0.13679752,0.30793071,0.093138687,0.068690151,0.09088733,0.39428872,0.10921609,0.53698432,0.10635438,-0.049768873,0.14875391,-0.38711488,0.11658399,0.37197003,0.1336413,0.13942142,0.12060431,0.15393338,0.11517648,-0.21457936,0.1196806
Chase County,284,2010,B+,B+,A-,E-,E-,E-,E-,E-,E-,,,,E,E,E,,,,E-,E-,E-,,,,E,E,E,E,E,E,E,E,E,,,,E,E,E,E,E,E,E-,A+,A+,A+,A+,A+,B+,B,B+,E-,,,E,E,E-,E-,E-,E-,,2005250,CHASE COUNTY,20,KS,2010,3,0.039385848,0.17451505,0.40851951,0.18775195,0.030999869,0.17013617,-0.11414637,0.15940754,-0.049755316,0.14695427,0.10534392,0.14965534,0.37035197,0.16122781,0.25095853,0.14975521,0.11873411,0.16807245,-0.18497506,0.15820765,-0.10004486,0.1445528,-0.21225363,0.13995548
Chautauqua County Community,286,2010,B+,B+,A-,E-,E-,E-,A-,A-,A,A,A,A,B+,A-,A-,,,,A-,A-,A-,,,,B+,B+,B+,A,A,A,A-,A-,A-,,,,A+,A+,A+,E-,E-,E-,B+,B+,A-,E-,A+,A+,B-,B-,B-,A+,,,A+,A+,A+,B+,B,B,,2011520,CHAUTAUQUA CO COMMUNITY,20,KS,2010,4,,,,,0.11630539,0.1953969,0.28927261,0.18830052,-0.27614361,0.17245018,-0.13943723,0.17450076,-0.02660099,0.15115285,0.076543696,0.14179929,-0.4901644,0.16721486,-0.53956115,0.15960303,-0.12319405,0.15359861,-0.25929022,0.14383891
Cheney,268,2010,B+,B+,A-,E,E,E,E-,E,E,,E,E,,A-,E-,,E-,E-,,A-,A-,,,,A,E+,E+,A,E,E,E+,E+,E+,,,,A+,A+,A+,E+,E+,E+,A-,A,E,E+,E-,,B+,B-,B-,E-,,,E-,E-,E-,E,E-,A+,,2004670,CHENEY,20,KS,2010,3,0.34062999,0.13699812,0.71106291,0.14854945,0.48971856,0.12859532,0.79260015,0.21946199,0.46352097,0.13872077,0.64308828,0.14218062,0.48856056,0.11300465,-0.15483168,0.12078586,0.37629923,0.15640402,0.37274212,0.13923445,0.15146713,0.1022791,0.12984577,0.11772467
Cherryvale,447,2010,B+,B+,A-,A,A,A,A+,A+,A+,E,E,E-,,A+,A+,E,E-,E-,A-,A-,A-,A+,,,B+,B+,B+,E-,E-,E-,A,A,A,B+,,,B+,B+,B+,E-,E-,E-,B+,B+,B+,A+,A+,A+,B+,B+,B+,E-,,,,,,A+,A+,A+,,2004740,CHERRYVALE,20,KS,2010,3,-0.33037001,0.13857394,-0.11875183,0.12473943,-0.12412772,0.12645826,0.065055512,0.15217185,-0.049256008,0.11574046,-0.19618921,0.12837169,0.30671406,0.15674862,0.61232346,0.17917857,0.078046367,0.15156265,-0.21130769,0.1296054,0.23889503,0.16272469,-0.032437973,0.17160669
Chetopa - St. Paul,505,2010,B+,B+,A-,E,E,E,E,E,E,,,,E+,E+,E,,,,E,E,E,E+,E+,E+,B+,B+,B+,E,E,E,B-,B-,B-,E+,E,E,E-,E-,A+,E,E,E,B+,A+,E+,E,E,E,B,B,B,E-,,,E,E,E,E,E-,E-,,2004770,CHETOPA-ST. PAUL,20,KS,2010,3,-0.014954165,0.1843752,0.14991952,0.19241986,-0.27974176,0.14284521,-0.20747647,0.13652866,0.36516261,0.15805772,0.0771318,0.1527473,-0.036543071,0.13897899,-0.043233186,0.13485904,0.078557782,0.1496117,-0.080793343,0.14208287,-0.19872311,0.1524985,-0.41844651,0.14880626
Cimarron-Ensign,102,2010,B+,B+,A-,E,E,E,E,E,E,,,,,E+,E+,,,,A-,A,A,,,,E-,E-,E-,E,E,E,E,E,E,,,,E,E,E,E+,E+,E+,B,A-,A-,E-,E-,E-,B+,B+,B+,E-,,,,E,E,E-,E-,E-,,2004800,CIMARRON-ENSIGN,20,KS,2010,3,-0.45733675,0.13369547,-0.7103349,0.11103767,0.17829835,0.14291123,0.063560739,0.13356367,0.50898862,0.20202011,1.0453731,0.2805047,0.23145124,0.14557196,0.69222564,0.14627664,0.14732763,0.14234254,0.59277731,0.13975966,-0.059957743,0.10587978,0.31176269,0.072443374
Circle,375,2010,B+,B+,A-,E-,E-,,A,A,A,,,E-,A-,B+,E-,,,,A,A,A,A+,,,A,A,A,A-,A-,B+,B+,B+,B+,B+,,,B+,B+,B+,B+,B+,B+,B,A-,A+,E+,E-,E-,B+,B+,B+,A+,A,B+,A-,A,B+,B+,B+,B+,,2012300,CIRCLE,20,KS,2010,3,0.30503631,0.084674262,0.10757802,0.097974621,0.36298525,0.093248583,0.29777622,0.092409745,0.39603618,0.11668164,0.24906488,0.10756665,0.28017691,0.082995355,0.52048612,0.09977331,-0.1291616,0.082916066,-0.472296,0.083471529,-0.05156577,0.086052231,-0.24170709,0.089450121
Clay Center,379,2010,B+,B+,A-,E,E,E,A,A,A,,E,E,,A,A+,,,,A,A-,A-,,,,E+,E+,A+,A,A,A,E,B+,B+,,,,A,B+,B-,E-,E-,E-,B,B+,A-,E-,E,E,B,B+,B,E-,,,,,,E-,E-,A+,,2004890,CLAY CENTER,20,KS,2010,3,0.389184,0.10346133,0.39411217,0.1202767,0.23580024,0.092414409,0.1413426,0.094692282,0.51912504,0.12849012,0.50227219,0.12398849,0.13833904,0.081579424,0.33268154,0.079030149,0.30371153,0.12007309,0.54358828,0.10177997,0.21147549,0.093829751,0.25973052,0.080834627
